debate,character,text
1A,Maddow,"As parents are so afraid as their kids go off to school that their kids will be caught up in something like this, next to nothing has changed in federal law that might affect the prevalence of school shootings. Is this a problem that is going to continue to get worse over our lifetimes? Or is there something that you would do as president that you really think would turn it around?"
1A,Julián Castro,"You know, Rachel, I am the dad of a 10-year-old girl, Carina, who's here tonight. And the worst thing is knowing that your child might be worried about what could happen at school, a place that's supposed to be safe. The answer to your question is no. We don't have to accept that. And I believe that, on January 20, 2021, at 12:01 p.m., we're going to have a Democratic president, a Democratic House, and a Democratic Senate."
1A,Julián Castro,"And the activists of Parkland, folks from Moms Demand who have risen up across the United States and inspired so many people... you know, we may not have seen yet legislative action, but we're getting closer. The House took a vote. In the Senate, the question often is, if the decision is between 60 votes, a filibuster, or passing commonsense gun reform, I'm going to choose commonsense gun reform. So I believe that we're going to be able to get that done in 2021."
1A,Todd,"Secretary Castro, thank you."
1A,Tim Ryan,"Rachel, I have something to add to this briefly, because..."
1A,Maddow,We'll give you -- it'll be 30 seconds for a follow-up on that question -- on that answer from Secretary Castro. Congressman Ryan?
1A,Tim Ryan,You're talking about in the schools. These kids are traumatized. I support all the gun reforms here. We need to start dealing with the trauma that our kids have. We need trauma-based care in every school. We need social and emotional learning in every school.
1A,Tim Ryan,"Ninety percent of the shooters who do school shootings come from the school they're in, and 73 percent of them feel shamed, traumatized, or bullied. We need to make sure that these kids feel connected to the school. That means a mental health counselor in every single school in the United States. We need to start playing offense. If our kids are so traumatized that they're getting a gun and going into our schools, we're doing something wrong, too, and we need reform around trauma-based care."
1A,Maddow,"Thank you, Congressman Ryan."
1A,Todd,"Congressman O'Rourke, you're a Texan who's campaigned -- you campaigned all over the state in 2018 in the most conservative parts there. What do you tell a gun owner who may agree with you on everything else, OK, but says, you know what, the Democrats, if I vote for them in there, they're going to take my gun away, and even though I agree with you on all these other issues -- how do you have that conversation?"
1A,Beto O'Rourke,"Here's how we have that conversation in Texas. I shared with them what I learned from those students who survived the Santa Fe high school shooting, a young student named Bree. Her friend, Marcel, who survived another shooting, the mother of a victim who lost her life, Rhonda Hart, they talked about universal background checks, where you close every loophole. We know that they save lives."
1A,Beto O'Rourke,We talked about ending the sales of assault weapons into our communities. Those weapons of war were designed to kill people as effectively and as efficiently as possible. They should belong on the battlefield and not in our communities.
1A,Beto O'Rourke,"Red flag laws, so if someone poses a danger to themselves or to someone else, they're stopped before it's too late. And what I found in each one of those 254 counties is that Democrats and independents and Republicans, gun-owners and non-gun-owners alike, agreed. But this effort must be led by the young people that you referenced at the beginning of this issue. Those students from Marjory Stoneman Douglas led the charge here in Florida, and they've been able to change those laws. They're making our democracy work, ensuring that our values and our interests and our priorities are reflected in the laws that we pass."
1A,Maddow,"Congresswoman Gabbard, you have 45 seconds for your closing."
1A,Maddow,"Senator Klobuchar, let me put this to you. On the issue of civil rights, for decades -- on the civil rights and demographics, honestly, and politics, for decades, the Democratic Party has counted on African-American voter turnout as step one to winning elections on a national level. Democrats are counting on the Latino community now and in the future in the same way. What have you done for black and Latino voters that should enthuse them about going to the polls for you if you're your party's nominee?"
1A,Amy Klobuchar,"Well, that's not confiscation. You could give them the offer to buy back their gun."
1A,Amy Klobuchar,"But I'll say this. I look at these proposals and I say, does this hurt my Uncle Dick and his deer stand, coming from a proud hunting and fishing state? These proposals don't do that.         When I was a prosecutor, I supported the assault weapons ban. When I was in the Senate, I saw those moms from Sandy Hook come and try to advocate for change, and we all failed. And then now these Parkland kids from Florida, they started literally a national shift."
1A,Amy Klobuchar,"You know why? It's just like with gay marriage. When kids talked to their parents and their grandparents, they say I don't understand why we can't put these sensible things in place, they listen. And if we get bested by a bunch of 17-year-olds..."
1A,Todd,"All right, Senator, thank you."
1A,Amy Klobuchar,... it's the best thing that ever happened. We need to get...
1A,Todd,"Senator, thank you. Senator, thank you."
1A,Maddow,"Senator Booker, let me go to you on another matter actually."
1A,Todd,We've got to...
1A,Maddow,"Senator Mitch McConnell says that his most consequential achievement as Senate majority leader was preventing President Obama from filling a Supreme Court seat. Having served with Republicans on the Judiciary Committee, do you believe they would confirm your court nominees?"
1A,Cory Booker,"I'm going to use 20 of my seconds just to say there's one thing we don't all agree with when it comes to guns, and I think it's common sense, and over 70 percent of Americans agree with me. If you need a license to drive a car, you should need a license to buy and own a firearm."
1A,Cory Booker,"And not everybody in this field agrees with that. But in states like Connecticut that did that, they saw 40 percent drops in gun violence and 15 percent drops in suicides. We need to start having bold agendas on guns."
1A,Cory Booker,"When it comes to the Supreme Court, very clearly, we -- I agree with my friend, Secretary Castro. We are going to get to 50 votes in the Senate. This is a team sport. Whoever is our nominee needs to campaign in places like South Carolina, because we can elect Jamie Harrison. They need to campaign in places like Iowa, because we can win a Senate seat there."
1A,Cory Booker,"This is about getting us back to having 50 votes in the Senate and more so that we cannot only balance the Supreme Court, but start to pass an aggressive agenda that, frankly, isn't so aggressive, because most of America agrees with the policy objectives of our party."
1A,Maddow,Mayor De Blasio...
1A,John Delaney,"Rachel, we have to actually..."
1A,Maddow,"Congressman Delaney, you'll have some time in a moment on this issue."
1A,John Delaney,This issue is related...
1A,Maddow,"Congressman Delaney, I'll give you some time in a moment. Mayor De Blasio, as an executive in the largest city in this country, you are used to saying what you want to have happen and having it happen. If you nominate a Supreme Court nominee as president of the United States and Mitch McConnell is still Senate majority leader, what makes you believe that he would allow you to make a nominee?"
1A,Bill De Blasio,"Rachel, I am chief executive of the nation's largest city, and I also wanted to just say something quick on the gun issue and come to your question."
1A,Bill De Blasio,"Look, I run the largest police force in America, too, and if we're going to stop these shootings, we want to get these guns off the street, we have to have a very different relationship between our police and our community."
1A,Bill De Blasio,"I also want to say there's something that sets me apart from all my colleagues running in this race, and that is, for the last 21 years, I have been raising a black son in America. And I have had to have very, very serious talks with my son, Dante, about how to protect himself on the streets of our city and all over this country, including how to deal with the fact that he has to take special caution because there have been too many tragedies between our young men and our police, too, as we saw recently in Indiana."
1A,Bill De Blasio,"So we need to have a different conversation in this country about guns, but also a different conversation about policing that brings policing community together. We've done that in New York City and we've driven down crime while we've done it.         But to your question about Mitch McConnell, there is a political solution that we have to come to grips with. If the Democratic Party would stop acting like the party of the elites and be the party of working people again, and go into states, including red states, to convince people we're on their side, we can put pressure on their senators to actually have to vote for the nominees that are put forward..."
1A,Maddow,That's time.
1A,Todd,"Senator Warren -- I'm going to get you -- I will get you 30 seconds, I promise. Let me get -- let me get this question. We're trying. I know you guys -- we've got other issues we're trying to get to, including a big one coming up in a minute. But, Senator Warren, I want to continue on the Mitch McConnell thing, because you have a lot of ambitious plans."
1A,Elizabeth Warren,I do.
1A,Todd,"You have a plan for that. OK. We talked about the Supreme Court. Do you have a plan to deal with Mitch McConnell if you don't beat him in the Senate, if he's still sitting there as the Senate majority leader? It's very plausible you be elected president with a Republican Senate. Do you have a plan to deal with Mitch McConnell?"
1A,Elizabeth Warren,"We are democracy. And the way a democracy is supposed to work is the will of the people matters. Now, we have for far too long have had a Congress in Washington that has just completely dismissed what people care about across this country."
1A,Elizabeth Warren,"They have made this country work much better than for those who can make giant contributions, made it work better for those who hire armies of lobbyists and lawyers, and not made it work for the people."
1A,Elizabeth Warren,"Well, here's how I see this happening. Number one, sure, I want to see us get a Democratic majority in the Senate. But short of a Democratic majority in the Senate, you better understand the fight still goes on. It starts in the White House, and it means that everybody we energize in 2020 stays on the frontlines come January 2021. We have to push from the outside, have leadership from the inside, and make this Congress reflect the will of the people."
1A,Todd,I'm going to get to -- I'm going to get a couple of you in here.
1A,Todd,"I'm going to get a couple of you in here. Thirty seconds, Congressman Delaney, you seem to believe you can do everything in a bipartisan manner. Mitch McConnell doesn't operate that way. He operates differently. Why do you think he is going to conform to your style?"
1A,John Delaney,I think we need to get things done. That's why I believe we need to operate in a bipartisan manner.
1A,John Delaney,"Listen, I will sign into law bills that come to the White House that are passed on a party-line basis, absolutely. But all the big transformative things we've ever done in this country's history have happened when huge majorities of the American people get behind them, which is why we need real solutions, not impossible promises."
1A,John Delaney,"We need to put forth ideas that work, whether it's on health care, creating universal health care so that every American gets health care, but not running on making private insurance illegal."
1A,John Delaney,"The gun issue is related. The gun safety issue is related, because I can't tell you how many times I've been with folks in Western Maryland, and they've said to me, you know, Democrats don't do anything for us, Republicans don't do anything for us. You fight all the time, so they vote on that single issue."
1A,Todd,OK.
1A,John Delaney,"If we become the party of getting things done for the American people, with real solutions and not impossible promises, we'll be able to get all these things done."
1A,Todd,I promised...
1A,Todd,"Senator Booker, 30 seconds. You -- how do you deal with Mitch? You've been in the Senate. You can't get bills on the floor right now with Mitch McConnell. Presidents can't do it. Is President Booker going to get his bills on the floor with Senator McConnell?"
1A,Cory Booker,"You know, when I got to the United States Senate, going back to what De Blasio said, as an African-American man in an African-American-dominated community, I knew one of the biggest issue was criminal justice reform, from police accountability to dealing with the fact that we have a nation that has more African-Americans under criminal supervision than all the slaves in 1850."
1A,Cory Booker,"And when I got to the Senate, people told me we could not get a comprehensive criminal justice reform bill done. As my colleagues in the Senate know, I fought on that bill from the day I got to the Senate, built coalitions across the aisle, and today we passed the First Step Act."
1A,Cory Booker,"It's not as far as I want to go, but thousands of people will be liberated. I have gotten -- I have taken on tough problems people said we cannot achieve, and I've been able to get things accomplished."
1A,Todd,"Thank you, Senator Booker. Rachel has got the next question."
1A,Maddow,"We are going to -- hold on. Governor, you're going to be happy with where we go."
1A,Todd,Just give us a second.
1A,Maddow,"Governor Inslee, the next question is to you. You got me?"
1A,Jay Inslee,Rachel.
1A,Maddow,"You have staked your candidacy on the issue of climate change. It is first, second, and third priority for you. You've said it's all the issues."
1A,Maddow,"Let's get specific. We're here in Miami, which is already experiencing serious flooding on sunny days as a result of sea level rise. Parts of Miami Beach and the Keys could be underwater in our lifetimes. Does your plan save Miami?"
1A,Jay Inslee,"Yes, first by taking away the filibuster from Mitch McConnell, to start with. We have to do that."
1A,Jay Inslee,"Look it, look it, we are the first generation to feel the sting of climate change, and we are the last that can do something it. Our towns are burning. Our fields are flooding. Miami is inundated."
1A,Jay Inslee,"And we have to understand, this is a climate crisis, an emergency (OFF-MIKE) this is our last chance in the administration, next one, to do something about it. And we need to do what I've done in my state. We've passed a 100 percent clean electrical grid bill. We now have a vision statement. And my plan has been called the gold standard of putting people to work."
1A,Jay Inslee,"But the most important thing on this, in the biggest decision for the American public is, who is going to make this the first priority? And I am the candidate and the only one who's saying this has to be the top priority of the United States, the organizing principle to mobilize the United States, so that we can do what we've always done, lead the world and invent the future and put 8 million people to work. That's what we're going to do."
1A,Maddow,"Governor Inslee, thank you."
1A,Todd,"Congressman O'Rourke, you also put out a big climate change plan from your campaign. You want some big changes in a pretty short period of time, including switching to renewable energy, pushing to replace gas-powered cars in favor of electric ones. What's your message to a voter who supports the overall goal of what you're trying to do, but suddenly feels as if government's telling them how to live and ordering them how to live? What is that balance like?"
1A,Beto O'Rourke,"I think you've got to bring everybody in to the decisions and the solutions to the challenges that we face. That's why we're traveling everywhere, listening to everyone."
1A,Beto O'Rourke,"We were in Pacific Junction, a town that had never meaningly flooded before, just up against the Missouri River in Iowa. And every home in that community had flooded. There were farms just outside of Pacific Junction that were effectively lakes, those farmers already underwater in debt, their markets closed to them by a trade war under this administration, and now they don't know what to do."
1A,Beto O'Rourke,"We in our administration are going fund resiliency in those communities, in Miami, in Houston, Texas, those places that are on the front lines of climate change today. We're going to mobilize $5 trillion in this economy over the next 10 years. We're going to free ourselves from a dependence on fossil fuels, and we're going to put farmers and ranchers in the driver's seat, renewable and sustainable agriculture, to make sure that we capture more carbon out of the air and keep more of it in the soil, paying farmers for the environmental services that they want to provide."
1A,Beto O'Rourke,"If all of us does all that we can, then we're going to be able to keep this planet from warming another 2 degrees Celsius, and ensure that we match what this country can do and live up to our promise and our potential."
1A,Todd,"Thirty seconds, Secretary Castro, does -- who pays for the mitigation to -- to climate, whether it's building sea walls, for people that are perhaps living in places that they shouldn't be living? Is this a federal government issue that needs to do that? Do they have to move these people? What do you do about that, where maybe they're building a place someplace that isn't safe? Who pays to build that house? And how much should the government be bailing them out?"
1A,Julián Castro,"Well, I don't think that that represents the vast majority of the issue. In fact, you know, my first visit after I announced my candidacy wasn't to Iowa or New Hampshire. It was to San Juan, Puerto Rico."
1A,Julián Castro,"Because people should know that if I'm elected president, everybody will count. And, you know, I'm one of the few candidates in this race with executive experience, with a track record of getting things done. When I was mayor of San Antonio, we moved our local public utility, we began to shift it from coal-fired plants to solar and other renewables, and also created more than 800 jobs doing that."
1A,Julián Castro,"And when I was HUD secretary, we worked on the National Disaster Resilience Competition to invest in communities that were trying to rebuild from natural disasters in a sustainable way. That's the way that we're going to help make sure that we're all safer in the years to come and that we combat climate change."
1A,Todd,Thank you.
1A,Julián Castro,"And if I'm elected president, the first thing that I would do, like Senator Klobuchar also has said, is sign an executive order recommitting us to the Paris Climate Accord so that we lead again..."
1A,Todd,"All right. Congressman Ryan, I got a full question for you here, which is simply this. There are -- a lot of the climate plans include pricing carbon, taxing carbon in some way. This type of proposal has been tried in a few places, whether it's Washington state where voters voted it down, you've had the Yellow Vest Movement, we had in Australia one party get rejected out of fear of the cost of climate change sort of being put on the backs of the consumer. If pricing carbon is just politically impossible, how do we pay for climate mitigation?"
1A,Tim Ryan,"Well, there is a variety of different ways to pay. We talked about different ways of raising revenue. And I think we've got to build our way out of this and grow our way out of this."
1A,Tim Ryan,"But let me just talk real quick to the previous question about real politics. We could talk about climate, we could talk about guns, we could talk about all of these issues that we all care about."
1A,Tim Ryan,"We have a perception problem with the Democratic Party. We are not connecting to the working class people in the very states that I represent in Ohio, in the industrial Midwest. We've lost all connection. We have got to change the center of gravity of the Democratic Party from being coastal and elital -- elitist and Ivy League, which is the perception, to somebody from the forgotten communities that have been left behind for the last 30 years, to get those workers back on our side so we can say we're going to build electric vehicles, we're going to build solar panels."
1A,Tim Ryan,"But if you want to beat Mitch McConnell, this better be a working-class party. If you want to go into Kentucky and take his rear end out, and if you want to take Lindsey Graham out, you've got to have a blue collar party that can go into the textile communities in South Carolina. So all I'm saying here..."
1A,Todd,"Thank you, Congressman Ryan."
1A,Tim Ryan,All I'm saying here...
1A,Julián Castro,"So, Chuck, Chuck..."
1A,Tim Ryan,"All I'm saying is here, if we don't address that fundamental problem with our connection to workers -- white, black, brown, gay, straight -- working-class people..."
1A,Todd,"Thank you, Congressman."
1A,Tim Ryan,"... none of this is going to get done, Chuck."
1A,Todd,Thank you very much.
1A,Maddow,"Congressman, thank you. Your time is up."
1A,Todd,"I want to you -- we're going to keep moving. Congressman Delaney, I'm going to get to you..."
1A,John Delaney,This is -- I introduced the only bipartisan carbon tax bill...
1A,Todd,"Thirty seconds -- all right, 30 seconds, go."
1A,John Delaney,"This is really important. All the economists agree that a carbon pricing mechanism works. You just have to do it right. You can't put a price on carbon, raise energy prices, and not give the money back to the American people."
1A,John Delaney,"My proposal, which is put a price on carbon, give a dividend back to the American people. It goes out one pocket, back in the other."
1A,John Delaney,I can get that passed my first year as president with a coalition of every Democrat in the Congress and the Republicans who live in coastal states.
1A,Todd,"Thank you. Congressman, thank you."
1A,John Delaney,"Because Republicans in Florida, they actually care about this issue."
1A,Todd,OK. Thank you very much.
1A,John Delaney,This has got to be our way forward if we're actually serious about this issue.
1A,Todd,"Congresswoman Gabbard, we're going to move here. One of the first things you did after launching your campaign was to issue an apology to the LGBT community about your past stances and statements on gay rights. After the Trump administration's rollbacks of civil rights protections for many in that community, why should voters in that community or voters that care about this issue in general trust you now?"
1A,Tulsi Gabbard,Let me say that there is no one in our government at any level who has the right to tell any American who they should be allowed to love or who they should be allowed to marry.
1A,Tulsi Gabbard,My record in Congress for over six years shows my commitment to fighting for LGBTQ equality. I serve on the Equality Caucus and recently voted for passage of the Equality Act.
1A,Tulsi Gabbard,"Maybe many people in this country can relate to the fact that I grew up in a socially conservative home, held views when I was very young that I no longer hold today."
1A,Tulsi Gabbard,"I've served with LGBTQ servicemembers, both in training and deployed downrange. I know that they would give their life for me and I would give my life for them. It is this commitment that I'll carry through as president of the United States, recognizing that there are still people who are facing discrimination in the workplace, still people who are unable to find a home for their families. It is this kind of discrimination that we need to address."
1A,Cory Booker,But it's not enough.
1A,Todd,"Thank you, Congresswoman Gabbard."
1A,Cory Booker,"It's not enough. If I can add to this, it's very important."
1A,Todd,"Thirty seconds, Senator."
1A,Cory Booker,"It's not enough. Look, civil rights is someplace to begin, but in the African American civil rights community, another place to focus on was to stop the lynching of African-Americans."
1A,Cory Booker,"We do not talk enough about trans Americans, especially African-American trans Americans... and the incredibly high rates of murder right now. We don't talk enough about how many children, about 30 percent of LGBTQ kids, who do not go to school because of fear. It's not enough just to be on the Equality Act. I'm an original co-sponsor. We need to have a president that will fight to protect LGBTQ Americans every single day from violence in America."
1A,Todd,"Thank you, Congressman O'Rourke."
1A,Amy Klobuchar,"My life and my career and my work in the Senate has been about economic opportunity. And to me, this means better childcare for everyone in this country. And when you want an economy that works, you need to have retirement that works, you need to have public schools that work. And you also need to make sure that those communities are able to get those jobs of the future, the STEM jobs."
1A,Amy Klobuchar,"In fact, Donald Trump, one of the first bills that he signed of the 34 he signed where I was the lead Democrat -- OK, that's a first up here -- was one that was about that, making sure minority community members could share in those jobs."
1A,Amy Klobuchar,"So to me, this is about a few things. It's about an African-American woman that goes to a hospital in New Orleans, says her hands are swollen, and then doctor ignores her and her baby dies. It's about the fact that African-American women make 61 cents for every dollar a white man makes."
1A,Amy Klobuchar,"So in short, we need, one -- and I will do this in my first 100 days as president -- we will work to make sure everyone can vote at this table, everyone can vote in this country..."
1A,Maddow,"That's time, Senator."
1A,Amy Klobuchar,"... and we will also go to the next step of criminal justice reform. Senator Booker and I worked on that First Step Act, but we should go to the second step act, which is to help all our communities across our country."
1A,Maddow,"Senator, thank you very much. Thirty-second follow-up to you, Secretary Castro. This is a 70 percent Latino city here in Miami. You are the only Latino Democrat who is running here this year in the presidential race."
1A,Maddow,"Is that enough of an answer, what Senator Klobuchar is describing there, an economic justice agenda? Is that enough to mobilize Latino voters to stand with the Democratic Party in a big way?"
1A,Julián Castro,"Well, I also think that we have to recognize racial and social justice. And, you know, I was in Charleston not too long ago, and I remembered that Dylann Roof went to the Mother Emanuel AME church, and he murdered nine people who were worshipping, and then he was apprehended by police without incident."
1A,Julián Castro,"Well, but what about Eric Garner and Tamir Rice and Laquan McDonald and Sandra Bland and Pamela Turner and Antonio Arce? I'm proud that I'm the only candidate so far that has put forward legislation that would reform our policing system in America and make sure that no matter what the color of your skin is, that you're treated the same, including Latinos who are mistreated too oftentimes by police."
1A,Maddow,"Secretary Castro, thank you."
1A,Todd,"Let me go over to Lester Holt, who's got a question, I believe a viewer question."
1A,Lester Holt,"And I'm over here, Chuck. Thanks. We asked voters from across the country to submit their questions to the candidates. Let me read one now. This comes from John in New York who submitted this question."
1A,Lester Holt,"He asks, does the United States have a responsibility to protect in the case of genocide or crimes against humanity? Do we have a responsibility to intervene to protect people threatened by their governments even when atrocities do not affect American core interests? I would like to direct that question to Congressman O'Rourke."
1A,Beto O'Rourke,"John, appreciate the question. The answer is yes, but that action should always be undertaken with allies and partners and friends. When the United States presents a united front, we have a much better chance of achieving our foreign policy aims and preventing the kind of genocide to which you refer, the kind of genocide that we saw in Rwanda, the kind of genocide we want to stop going forward.         But unfortunately, under this administration, President Trump has alienated our allies and our friends and our alliances. He's diminished our standing in the world and he's made us weaker as a country, less able to confront challenges, whether it's Iran or North Korea or Vladimir Putin in Russia, who attacked and invaded our democracy in 2016, and who President Trump has offered another invitation to do the same."
1A,Beto O'Rourke,"He's embraced strongmen and dictators at the expense of the great democracies. As president, I will make sure that we live our values in our foreign policy. I will ensure that we strengthen those alliances and partnerships and friendships and meet any challenge that we face together. That makes America stronger."
1A,Bill De Blasio,But what about the War Powers Act?
1A,Maddow,"Congressman O'Rourke, thank you."
1A,Bill De Blasio,"What about the War Powers Act being a part of that equation? With deep respect to the congressman, look, we've learned painful lessons as Americans that we've gone to war without congressional authorization."
1A,Bill De Blasio,"And look, this is very personal for me. I know the cost of war. My dad served in the Pacific in World War II in the U.S. Army, Battle of Okinawa, had half his leg blown off, and he came home with scars, both physical and emotional, and he did not recover. He spiraled downward and he ultimately took his own life. And that battle didn't kill him, but that war did."
1A,Bill De Blasio,"And, look, even in the humanitarian crisis -- and I think we should be ready, Congressman, to intervene, God forbid there is genocide -- but not without congressional approval. Democrats and Republicans both in the Congress have not challenged presidents and have let them get away with running the military without that congressional approval. We learned a lesson in Vietnam we seem to have forgotten, that decisions have to be made by the United States Congress..."
1A,Maddow,"I'm going to pick up -- I want to pick up this point, and I want to put this to Congressman Ryan. Today the Taliban claimed responsibility for killing two American servicemembers in Afghanistan. Leaders as disparate as President Obama and President Trump have both said that they want to end U.S. involvement in Afghanistan, but it isn't over for America. Why isn't it over? Why can't presidents of very different parties and very different temperaments get us out of there? And how could you?"
1A,Tim Ryan,"I appreciate that question. So I've been in Congress 17 years. And 12 of those years I've sat on the Armed Services Committee, the Defense Appropriations Committee or the Armed Services Committee."
1A,Tim Ryan,"And the lesson that I've learned over the years is that you have to stay engaged in these situations. Nobody likes it. It's long. It's tedious. But right now, we have -- so I would say we must be engaged in this. We must have our State Department engaged. We must have our military engaged to the extent they need to be."
1A,Tim Ryan,"But the reality of it is, this president doesn't even have people appointed in the State Department to deal with these things, whether we're talking about Central America, whether we're talking about Iran, whether we're talking about Afghanistan. We've got to be completely engaged."
1A,Tim Ryan,"And here's why, because these flare-ups distract us from the real problems in the country. If we're getting drones shot down for $130 million, because the president is distracted, that's $130 million that we could be spending in places like Youngstown, Ohio, or Flint, Michigan, or rebuilding -- or rebuilding..."
1A,Maddow,"Congresswoman Gabbard, I'm going to give you 30 seconds, actually, to jump off what he said. He described engagement as the problem."
1A,Tulsi Gabbard,"Is that what you will tell -- is that what you will tell the parents of those two soldiers who were just killed in Afghanistan? Well, we just have to be engaged? As a soldier, I will tell you, that answer is unacceptable."
1A,Tulsi Gabbard,"We have to bring our troops home from Afghanistan. We are in a place in Afghanistan where we have lost so many lives. We've spent so much money. Money that's coming out of every one of our pockets, money that should be going into communities here at home, meeting the needs of the people here at home."
1A,Tulsi Gabbard,We are no better off in Afghanistan today than we were when this war began. This is why it's so important to have a president and commander-in-chief who knows the cost of war and who's ready to do the job on day one. I am ready to do that job when I walk into the Oval Office.
1A,Todd,"Listen, I'm going to go down the line -- I'm going to go down -- I'm going to go down -- I'm going to go down the line here. You know what, you felt -- you felt like she was rebutting you. Get 30 seconds, go."
1A,Tim Ryan,Thank you. You're a very good man. I appreciate that.
1A,Todd,Fair enough. I hear what you're saying. She invoked your name.
1A,Tim Ryan,"I would just say, I don't want to be engaged. I wish we were spending this money in places that I've represented that have been completely forgotten and we were rebuilding. But the reality of it is, if the United States isn't engaged, the Taliban will grow. And they will have bigger, bolder terrorist acts. We have got to have some presence there..."
1A,Tulsi Gabbard,The Taliban was there long before we came in. They're going to be there long before we leave.
1A,Tim Ryan,"And they were -- yeah, exactly. Well, we were."
1A,Tulsi Gabbard,"We cannot keep U.S. troops deployed to Afghanistan thinking that we're going to somehow squash this Taliban that's been there, that every other country that's tried has failed."
1A,Tim Ryan,"I didn't say -- I didn't say squash them. I didn't say squash them. When we weren't in there, they started flying planes into our buildings. So I'm just saying right now we have an obligation..."
1A,Tulsi Gabbard,The Taliban didn't attack us on 9/11. Al Qaida did.
1A,Tim Ryan,"Well, I -- I understand..."
1A,Tulsi Gabbard,"Al Qaida attacked us on 9/11. That's why I and so many other people joined the military, to go after Al Qaida, not the Taliban."
1A,Tim Ryan,I understand that. The Taliban...
1A,Todd,"Go ahead, Congressman. Finish up, 10 seconds."
1A,Tim Ryan,"The Taliban was protecting those people who were plotting against us. All I'm saying is, if we want to go into elections, and we want to say that we've got to withdraw from the world, that's what President Trump is saying. We can't. I would love for us to."
1A,Tulsi Gabbard,You know who's protecting Al Qaida right now? It's Saudi Arabia.
1A,Todd,"I want to go down the line here, finish up foreign policy. It's a simple question. What is our -- what is the biggest threat -- what is -- who is the geopolitical threat to the United States? Just give me a one-word answer, Congressman Delaney."
1A,John Delaney,Could you repeat the question?
1A,Todd,Greatest geopolitical threat to the United States right now. Congressman Delaney?
1A,John Delaney,"Well, the biggest geopolitical challenge is China. But the biggest geopolitical threat remains nuclear weapons."
1A,John Delaney,"Right, so those are -- you know, those are different questions."
1A,Todd,I got you. Totally get it. Go ahead. Governor Inslee?
1A,Jay Inslee,The biggest threat to the security of the United States is Donald Trump. And there's no question about it.
1A,Todd,Congresswoman Gabbard?
1A,Tulsi Gabbard,The greatest...
1A,Todd,Greatest geopolitical threat.
1A,Tulsi Gabbard,The greatest threat that we face is the fact that we're in a greater risk of nuclear war today than ever before in history.
1A,Todd,Senator Klobuchar?
1A,Amy Klobuchar,"Two threats, economic threat, China, but our major threat right now is what's going in the Mideast with Iran, if we don't get..."
1A,Todd,"OK, try to keep it at one -- slimmer than what we've been going here. One or two words."
1A,Beto O'Rourke,Our existential threat is climate change. We have to confront it before it's too late.
1A,Todd,Senator Warren?
1A,Jay Inslee,Climate change.
1A,Todd,Yeah. Senator Booker?
1A,Cory Booker,Nuclear proliferation and climate change.
1A,Todd,Secretary Castro?
1A,Julián Castro,China and climate change.
1A,Todd,Congressman Ryan?
1A,Tim Ryan,"China, without a question. They're wiping us around the world economically."
1A,Todd,And Mr. Mayor?
1A,Bill De Blasio,"Russia, because they're trying to undermine our democracy and they've been doing a pretty damn good job of it, and we need to stop them."
1A,Todd,"All right. Well, thank you for that wide variety of answers, and I mean that. No, I mean that in -- that's what this debate is about. This is the best part of a debate like this."
1A,Todd,"Congressman O'Rourke, Special Counsel Robert Mueller's report outlines multiple instances of potential criminal behavior by President Trump. House Speaker Pelosi has publicly and privately resisted any move toward impeachment in the House. If the House chooses not to impeach, as president, would you do anything to address the potential crimes that were outlined in Mr. Mueller's report?"
1A,Beto O'Rourke,"Yes, and I'll tell you why."
1A,Todd,"How, by the way? If the answer is yes."
1A,Todd,"One of the most powerful pieces of art in the United States Capitol is the Trumbull painting of General George Washington resigning his commission to the Continental Congress, at the height of his power, submitting to the rule of law and the will of people. That has withstood the test of time for the last 243 years."
1A,Todd,"If we set another precedent now that a candidate who invited the participation of a foreign power, a president who sought to obstruct the investigation into the invasion of our democracy, if we allow him to get away with this with complete impunity, then we will have set a new standard, and that is that some people, because of the position of power and public trust that they hold, are above the law. And we cannot allow that to stand."
1A,Todd,"So we must begin impeachment now so that we have the facts and the truth and we follow them as far as they go and as high up as they reach and we save this democracy. And if we've not been able to do that in this year or the year that follows, and under my administration, our Department of Justice will pursue these facts and ensure that there are consequences, there is accountability, and there is justice. It's the only way that we save this country."
1A,Maddow,"Congressman Delaney, because of the accountability issues that Congressman O'Rourke was just describing there and the real political landscape in which Nancy Pelosi is saying that impeachment will not be pursued in the House, it raises the prospect -- and the Mueller Report raises the prospect that President Trump could be prosecuted for some of those potential crimes down the line. No U.S. president has ever been prosecuted for crimes after leaving office. Do you believe that President Trump could or should be the first?"
1A,John Delaney,I guess there's always a first.
1A,Maddow,Should he be?
1A,John Delaney,"I don't think anyone is above the law. I don't think anyone is above the law, including a president. I support Speaker Pelosi's decisions that she is making in the House of Representatives right now as speaker. I think she knows more about the decision as to whether to impeach the president than any of the 2020 candidates combined."
1A,Maddow,Conceded. On the issue of prosecution...
1A,John Delaney,"So -- but I do think -- I do think the -- no one is above the law, and this president, who is lawless, should not be above the law. But I will tell you, Rachel, the one thing when you're out doing as much campaigning as I've done, 400 events, all 99 counties in Iowa, this is not the number-one issue the American people ask us about."
1A,John Delaney,"It's not. They want to know what we're going to do for health care, how we're going to lower pharmaceutical prices, how we're going to build infrastructure, what we're going to do to create jobs in their communities."
